id,name,type,birth,age,position,country
JL,Juliet Lohuis,0,1996,3,Mittelblock,Niederlande
MT,Mira Todorova,0,1994,4,Mittelblock,Bulgarien
ET,Eline Timmerman,0,1998,2,Mittelblock,Niederlande
HK,Hannah Kohn,0,2003,1,Zuspiel,Deutschland
IV,Ilka Van de Vyver,0,1993,4,Zuspiel,Belgien
JN,Julia Nowicka,0,1998,2,Zuspiel,Polen
SL,Simone Lee,0,1996,3,Außenangriff,USA
MSP,Maria Segura Pallerés,0,1992,4,Außenangriff,Spanien
HJ,Hester Jasper,0,2001,1,Außenangriff,Niederlande
HD,Helena Dornheim,0,2004,1,Außenangriff,Deutschland
KR,Krystal Rivers,0,1994,4,Diagonal,USA
LB,Lara Berger,0,2001,1,Diagonal,Deutschland
RK,Roosa Koskelo,0,1991,4,Libera,Finnland
LG,Lena Grundt,0,2004,1,Libera,Deutschland
SetU,Set-up 65,1,,,,
TTP,Talent Team Papendal,1,,,,
EA,Eurosped Almelo,1,,,,
CA,Coolen Alterno,1,,,,
USCM,USC Münster,1,,,,
RCC,RC Cannes,1,,,,
VLC,Volero Le Cannet,1,,,,
VZ,Volero Zürich,1,,,,
LCVB,Le Cannet Volley Ball,1,,,,
SmP,Sm'Aesch Pfeffingen,1,,,,
VCM,VC Maritza,1,,,,
TP,Talentteam Papendal,1,,,,
AA,Alterno Apeldoorn,1,,,,
ET,Eurosped Twente,1,,,,
LBA,Ladies in Black Aachen,1,,,,
VfBU,VfB Ulm,1,,,,
OlympS,Olympiastützpunkt Stuttgart,1,,,,
BundS,Bundesstützpunkt Stuttgart,1,,,,
AK,Asterix Kieldrecht,1,,,,
IIBF,Il Bisonte Firenze,1,,,,
CL,Calcit Ljubljana,1,,,,
RRV,Rote Raben Vilsbiburg,1,,,,
CSMT,CSM Târgoviște,1,,,,
GBL,Grot Budowlani Łódź,1,,,,
BKS,BKS Profi Credit Bielsko-Biała,1,,,,
KS,KS Pałac Bydgoszcz U20,1,,,,
SMS,SMS PZPS Szczyrk,1,,,,
KAF,Kurobe AquaFairies,1,,,,
B,Beylikdüzü,1,,,,
IVC,Imoco Volley Conegliano,1,,,,
PSUni,Penn State Univ.,1,,,,
BVMB,Banca Valsabbina Millenium Brescia,1,,,,
DSC,Dresdner SC 1898,1,,,,
BSBC,Bosca San Bernardo Cuneo,1,,,,
STM,Saugella Team Monza,1,,,,
DIT,Delta Informatica Trentino,1,,,,
GHO,Geovillage Hermaea Olbia,1,,,,
CVB,CV Barcelona,1,,,,
VfBTh,VfB Suhl Lotto Thüringen,1,,,,
VCS,VC Sneek,1,,,,
AMTVSII,Allianz MTV Stuttgart II,1,,,,
UA,University of Alabama,1,,,,
BA,Beziers Angels,1,,,,
MNE,Luka Bar (MNE),1,,,,
FVT,FV Tübinger Modell,1,,,,
BSP,BSP MTV Stuttgart,1,,,,
VCOB,VCO Berlin,1,,,,
OKN,OK Nova KBM Branik,1,,,,
LPV,LP Viesti,1,,,,
LPK,LP Kangasala,1,,,,
HL,Hämeenlinnan Lentopallokerho,1,,,,
K,Kimmo,1,,,,
SP,Someron Pallo,1,,,,
EJMTV,Eigene Jugend MTV Stuttgart,1,,,,
N,Niederlande,1,,,,
Bul,Bulgarien,1,,,,
D,Deutschland,1,,,,
Bel,Belgien,1,,,,
P,Polen,1,,,,
USA,USA,1,,,,
Sp,Spanien,1,,,,
F,Finnland,1,,,,
